City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Anakapalle,IN,17.6833,83.0167,82.35,69,79,3.78,1627865374
Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,22,0,18.41,1627865079
Lucapa,AO,-8.4192,20.7447,63.7,30,98,3.11,1627865375
Upernavik,GL,72.7868,-56.1549,42.69,79,5,9.69,1627865375
Turukhansk,RU,65.8167,87.9833,64.35,64,99,6.24,1627865376
Uri,IN,34.0833,74.0333,68.81,91,36,3.15,1627865376
Pop,UZ,40.8736,71.1089,77.49,43,95,3.94,1627865376
Atar,MR,20.5169,-13.0499,88.25,44,99,11.77,1627865376
Usinsk,RU,65.9939,57.5281,51.46,91,100,6.15,1627865377
Ciocăneşti,RO,44.6,25.85,80.24,48,0,4.25,1627865377
Gurupá,BR,-1.405,-51.64,73.85,83,31,3.31,1627865377
Nísia Floresta,BR,-6.0911,-35.2086,76.01,78,3,14.45,1627865378
Arrondissement de Saint-Gaudens,FR,43.0833,0.6667,59.13,92,37,3.2,1627865378
Oranjemund,NA,-28.55,16.4333,55.56,76,0,7.34,1627865378
Torbay,CA,47.6666,-52.7314,61.57,86,20,12.66,1627865378
Qaanaaq,GL,77.484,-69.3632,42.01,84,74,2.15,1627865379
Quatre Cocos,MU,-20.2078,57.7625,68.11,69,14,12.53,1627865379
Mahon,ES,39.8885,4.2658,70.36,78,0,5.75,1627865379
Dalen,NL,52.6992,6.7556,55.94,94,5,7.27,1627865380
Moyobamba,PE,-6.05,-76.9667,62.46,98,11,1.74,1627865380
Port-Gentil,GA,-0.7193,8.7815,76.51,78,100,12.39,1627865380
Meulaboh,ID,4.1363,96.1285,76.33,85,84,2.84,1627865381
Chui,UY,-33.6971,-53.4616,50.59,93,74,6.2,1627865381
Oskemen,KZ,49.9565,82.6119,57.16,88,5,0.0,1627865381
Leshukonskoye,RU,64.8989,45.7622,54.25,97,100,3.96,1627865382
Disna,BY,55.568,28.1971,63.1,77,100,7.96,1627865382
Birjand,IR,32.8663,59.2211,68.47,18,0,11.5,1627865382
Emba,KZ,48.8264,58.1442,77.99,41,6,7.83,1627865382
Assiut,EG,27.181,31.1837,86.18,18,4,5.77,1627865383
Adrar,MR,20.5022,-10.0711,91.18,31,16,5.21,1627865383
Arrondissement de Saint-Denis,FR,48.9167,2.3333,63.37,76,0,4.61,1627865383
Pangnirtung,CA,66.1451,-65.7125,52.39,77,100,1.61,1627865384
Touros,BR,-5.1989,-35.4608,76.1,73,9,17.45,1627865384
Gao,ML,16.6362,1.637,88.29,46,18,13.65,1627865087
Varberg,SE,57.1056,12.2508,59.25,91,48,19.98,1627865384
Esna,EG,25.2934,32.554,86.02,17,0,7.25,1627865385
Biaora,IN,23.8667,76.9167,72.77,97,100,16.73,1627865385
Dikson,RU,73.5069,80.5464,42.12,99,100,10.09,1627865385
Bandar-e Lengeh,IR,26.5579,54.8807,91.51,75,10,0.0,1627865386
Hargeisa,SO,9.56,44.065,67.73,61,14,28.63,1627865386
Lüderitz,NA,-26.6481,15.1594,63.1,38,0,7.34,1627865386
Garissa,KE,-0.4536,39.6401,71.26,79,87,15.64,1627865386
Sur,OM,22.5667,59.5289,89.82,56,100,4.61,1627865387
Saint George,US,37.1041,-113.5841,97.39,28,75,4.0,1627865387
Campohermoso,ES,36.9357,-2.1337,74.12,81,100,3.62,1627865387
Vangaindrano,MG,-23.35,47.6,64.17,90,75,4.65,1627865388
Kamari,GR,36.8,25.8167,81.82,73,0,20.98,1627865388
Mossamedes,AO,-15.1961,12.1522,67.15,87,15,1.83,1627865388
Aksarka,RU,66.5606,67.7975,56.95,95,100,6.17,1627865389
Sinop Province,TR,41.7711,34.8709,64.11,70,0,3.09,1627865166
Mogwase,ZA,-25.185,27.2665,51.04,26,0,4.76,1627865389
Tokonou,GN,9.65,-9.7833,68.22,98,82,6.67,1627865389
Bam,IR,29.106,58.357,87.06,13,88,13.24,1627865390
Kristiansund,NO,63.1115,7.732,50.65,76,90,4.61,1627865390
Gamba,GA,-2.65,10.0,72.59,86,79,5.48,1627865390
Tessalit,ML,20.1986,1.0114,85.37,46,100,14.97,1627865391
Sumbe,AO,-11.2061,13.8437,70.3,92,29,3.29,1627865391
Puerto Quijarro,BO,-17.7833,-57.7667,70.75,32,2,7.96,1627865391
Bonavista,CA,48.6499,-53.1147,62.11,80,0,19.39,1627865391
Banamba,ML,13.55,-7.45,75.56,80,7,9.73,1627865392
Cap Malheureux,MU,-19.9842,57.6142,68.49,85,16,3.0,1627865392
Inhambane,MZ,-23.865,35.3833,61.61,84,0,5.14,1627865392
Miandrivazo,MG,-19.5167,45.4667,67.96,55,9,3.71,1627865393
Ciudad Bolivar,VE,8.1222,-63.5497,77.23,86,100,5.23,1627865393
Vila Velha,BR,-20.3297,-40.2925,66.15,77,75,4.61,1627865393
Leland,US,34.2563,-78.0447,77.07,88,1,3.44,1627865393
Skibbereen,IE,51.55,-9.2667,55.2,87,100,6.55,1627865394
Itarema,BR,-2.9248,-39.9167,75.92,75,11,8.79,1627865394
Tambo,PE,-14.8,-73.9167,38.89,58,70,5.66,1627865394
Rockland,US,41.1668,-74.0496,71.83,94,62,1.01,1627865395
Rawson,AR,-43.3002,-65.1023,55.96,39,33,7.94,1627865395
Los Llanos de Aridane,ES,28.6585,-17.9182,67.75,72,90,16.11,1627865395
Margate,GB,51.3813,1.3862,59.7,84,87,9.86,1627865395
Mathathane,BW,-22.2687,28.7495,56.95,34,0,9.06,1627865396
Maceió,BR,-9.6658,-35.7353,71.04,94,90,8.05,1627865325
Geraldton,AU,-28.7667,114.6,49.12,87,40,11.5,1627865396
Richards Bay,ZA,-28.783,32.0377,62.55,43,82,5.21,1627865396
Faya,SA,18.3851,42.4509,66.31,62,81,5.59,1627865397
Abū Zabad,SD,12.35,29.25,73.99,75,100,10.0,1627865397
Carnarvon,AU,-24.8667,113.6333,50.07,56,0,10.36,1627865397
Immokalee,US,26.4187,-81.4173,87.91,73,1,0.0,1627865376
Neuquén,AR,-38.9516,-68.0591,44.49,81,0,0.0,1627865398
Qaqortoq,GL,60.7167,-46.0333,61.3,79,100,2.08,1627865398
Vallenar,CL,-28.5708,-70.7581,69.55,26,0,1.28,1627865398
Umm Kaddadah,SD,13.6017,26.6876,81.23,63,23,16.42,1627865399
Deer Lake,CA,49.1667,-57.4316,62.46,72,20,13.8,1627865399
Boueni,YT,-12.9025,45.0761,73.38,69,35,18.88,1627865399
Reconquista,AR,-29.15,-59.65,51.57,63,0,5.46,1627865400
Kibre Mengist,ET,5.8833,38.9833,58.77,81,100,4.16,1627865400
Cabedelo,BR,-6.9811,-34.8339,74.07,84,27,16.37,1627865400
Yafran,LY,32.0633,12.5286,84.88,16,0,11.14,1627865401
Bandarbeyla,SO,9.4942,50.8122,82.09,62,11,27.92,1627865401
Aden,YE,12.7794,45.0367,80.85,87,19,11.48,1627865161
Padang,ID,-0.9492,100.3543,75.25,88,100,3.33,1627865403
Mossendjo,CG,-2.9506,12.7261,67.64,88,100,2.73,1627865403
Bereket,TM,39.2446,55.5154,80.38,16,2,3.31,1627865403
Cibitoke Province,BI,-2.8833,29.25,61.63,63,54,2.71,1627865404
Sychëvka,RU,55.8252,34.2736,61.09,75,100,3.67,1627865404
Oussouye,SN,12.485,-16.5469,78.89,88,48,9.82,1627865404
Belmonte,BR,-15.8631,-38.8828,66.7,68,100,15.1,1627865404
Ubari,LY,26.5921,12.7805,85.87,12,0,6.24,1627865405
La Asuncion,VE,11.0333,-63.8628,83.93,84,7,9.22,1627865405
Vestmannaeyjar,IS,63.4427,-20.2734,53.8,90,92,4.83,1627865405
Kontagora,NG,10.3999,5.4695,70.25,97,64,3.13,1627865406
Nanortalik,GL,60.1432,-45.2371,47.25,81,100,8.55,1627865406
Río Gallegos,AR,-51.6226,-69.2181,44.65,57,0,14.97,1627865392
San Andrés,CO,12.5847,-81.7006,82.42,89,75,11.5,1627865349
Ancud,CL,-41.8697,-73.8203,47.73,86,100,3.36,1627865406
Havre-St-Pierre,CA,50.2334,-63.5986,57.56,88,40,11.5,1627865407
Bosaso,SO,11.2842,49.1816,88.48,42,26,22.84,1627865407
Tarnów,PL,50.0138,20.987,63.97,96,100,15.41,1627865407
Freetown,SL,8.484,-13.2299,75.06,91,100,7.29,1627865408
Abnūb,EG,27.2696,31.1511,86.22,18,2,6.44,1627865408
Galle,LK,6.0367,80.217,78.8,85,34,10.16,1627865408
Tonj,SS,7.2737,28.6822,68.65,97,100,9.51,1627865408
Presidencia Roque Sáenz Peña,AR,-26.7852,-60.4388,54.28,49,0,4.72,1627865409
Larsnes,NO,62.2028,5.5773,52.68,77,39,8.05,1627865409
Yar-Sale,RU,66.8333,70.8333,54.91,98,100,15.23,1627865409
Morondava,MG,-20.2833,44.2833,67.91,73,55,3.85,1627865410
Syas'stroy,RU,60.1367,32.5691,56.73,94,30,8.95,1627865410
Vila Franca do Campo,PT,37.7167,-25.4333,73.81,93,63,9.69,1627865410
Itupiranga,BR,-5.1347,-49.3267,80.4,53,94,1.5,1627865411
Castro,BR,-24.7911,-50.0119,45.86,91,19,2.95,1627865411
Hamilton,US,39.1834,-84.5333,76.05,66,75,9.22,1627865335
Tabuk,PH,17.4189,121.4443,85.48,66,99,2.84,1627865411
Oktyabr'skoye,RU,43.0645,44.7417,64.54,88,9,4.47,1627865412
Glyadyanskoye,RU,54.9075,65.0883,62.29,79,6,6.82,1627865412
Tombouctou,ML,20.0,-3.0,92.82,33,6,7.78,1627865412
Saint-Philippe,RE,-21.3585,55.7679,67.55,72,43,7.29,1627865412
Kindu,CD,-2.95,25.95,75.67,43,100,2.64,1627865413
Araxá,BR,-19.5933,-46.9406,64.36,52,0,9.22,1627865413
Sørland,NO,67.667,12.6934,49.3,75,100,11.68,1627865413
Ibicuí,BR,-14.8417,-39.9867,58.57,94,100,4.45,1627865414
Caraz,PE,-9.0486,-77.81,63.77,64,53,6.73,1627865414
Bengkulu,ID,-3.8004,102.2655,75.9,89,97,3.71,1627865414
Begūn,IN,24.9833,75.0,72.43,92,100,10.2,1627865414
Distrikt Brokopondo,SR,4.75,-55.1667,77.67,83,99,7.34,1627865415
Muriti,TZ,-1.9833,32.9167,66.31,56,12,14.12,1627865415
Zelenogorskiy,RU,55.0333,87.0,59.52,70,96,3.44,1627865415
Aripuanã,BR,-9.1667,-60.6333,74.37,45,74,2.66,1627865416
Goba,ET,7.0167,39.9833,50.94,94,99,4.05,1627865416
Kamina,CD,-8.7386,24.9906,60.3,46,88,3.33,1627865416
Salalah,OM,17.0151,54.0924,74.5,95,100,4.36,1627865417
Nantucket,US,41.2835,-70.0995,69.91,75,90,8.05,1627865417
Hare Bay,CA,48.8499,-54.0148,65.55,72,2,12.26,1627865417
Road Town,VG,18.4167,-64.6167,84.24,79,20,8.05,1627865251
Tonk,IN,26.1667,75.7833,76.48,92,100,6.55,1627865418
Port Elizabeth,ZA,-33.918,25.5701,61.09,72,20,25.32,1627865274
Pimenta Bueno,BR,-11.6725,-61.1936,72.79,37,0,4.36,1627865368
São Filipe,CV,14.8961,-24.4956,75.63,77,19,0.76,1627865418
Samfya,ZM,-11.3649,29.5565,56.46,80,2,6.62,1627865419
Cap-aux-Meules,CA,47.3821,-61.8597,64.45,68,20,10.36,1627865419
Saint-Leu,RE,-21.15,55.2833,67.03,68,17,3.33,1627865419
Vardø,NO,70.3705,31.1107,49.3,96,100,8.93,1627865419
Grootfontein,NA,-19.5667,18.1167,38.77,70,0,1.14,1627865420
Camopi,GF,3.1655,-52.3158,70.7,99,45,1.88,1627865420
Oddur,SO,4.1213,43.8894,68.43,83,66,16.8,1627865420
Calamar,CO,10.2511,-74.9146,85.95,80,18,6.87,1627865421
Novy Urengoy,RU,66.0833,76.6333,59.88,61,100,12.53,1627865421
North Myrtle Beach,US,33.816,-78.68,85.03,90,75,4.61,1627865317
Orán,AR,-23.1322,-64.326,56.34,41,41,3.15,1627865421
Ushtobe,KZ,45.2514,77.9838,73.69,18,0,8.01,1627865422
Altay,CN,47.8667,88.1167,68.45,39,0,2.04,1627865422
Salinópolis,BR,-0.6136,-47.3561,77.94,80,91,7.43,1627865204
Manaure,CO,11.7751,-72.4445,83.14,71,18,17.65,1627865422
Buraidah,SA,26.326,43.975,88.25,10,5,1.1,1627865423
Gornopravdinsk,RU,60.05,69.9,60.66,99,98,3.04,1627865423
Coyhaique,CL,-45.5752,-72.0662,51.75,66,75,8.05,1627865423
Tubualá,PA,9.5167,-79.0333,83.34,81,100,2.35,1627865424
Rafaela,AR,-31.2503,-61.4867,53.06,46,0,5.12,1627865424
Udayagiri,IN,20.1333,84.3833,72.81,80,100,2.75,1627865424
Puerto Carreño,CO,6.189,-67.4859,74.61,86,51,4.52,1627865424
Dakar,SN,14.6937,-17.4441,82.53,78,75,4.61,1627865425
Vilhena,BR,-12.7406,-60.1458,67.1,42,0,2.93,1627865385
Den Helder,NL,52.9599,4.7593,60.78,78,75,10.36,1627865425
Iqaluit,CA,63.7506,-68.5145,47.93,93,90,3.44,1627865425
Krasne,UA,49.9145,24.6134,61.95,84,16,9.71,1627865426
Aketi,CD,2.7388,23.7833,71.31,86,100,1.16,1627865426
Porto Walter,BR,-8.2686,-72.7439,70.2,57,7,0.81,1627865426
Talnakh,RU,69.4865,88.3972,60.35,77,100,5.08,1627865427
Alto Araguaia,BR,-17.3147,-53.2153,63.37,37,0,5.82,1627865427
Alta Floresta,BR,-9.8756,-56.0861,75.67,42,9,4.36,1627865427
Arak,IR,34.0917,49.6892,71.2,31,89,3.42,1627865428
Naliya,IN,23.2667,68.8333,81.3,83,100,18.45,1627865428
Caravelas,BR,-17.7125,-39.2481,68.02,67,48,7.78,1627865428
Ibrā’,OM,22.6906,58.5334,85.32,53,100,2.48,1627865429
Cavalcante,BR,-13.7975,-47.4583,67.23,53,4,5.21,1627865429
Crixás,BR,-14.5489,-49.9692,75.56,34,7,4.45,1627865429
Kalmunai,LK,7.4167,81.8167,79.79,76,100,5.91,1627865430
Derzhavīnsk,KZ,51.1,66.3167,73.89,54,3,7.38,1627865430
Karachi,PK,24.9056,67.0822,80.42,78,75,14.97,1627865203
Araouane,ML,18.9048,-3.5265,93.27,36,0,11.14,1627865430
Albany,US,42.6001,-73.9662,66.07,93,100,1.3,1627865269
San Cristobal,VE,7.7669,-72.225,75.38,98,100,5.86,1627865431
Lamu,KE,-2.2717,40.902,75.42,81,67,16.62,1627865431
Umluj,SA,25.0213,37.2685,86.85,46,58,4.07,1627865431
Bubaque,GW,11.2833,-15.8333,79.9,81,94,20.92,1627865432
Cayenne,GF,4.9333,-52.3333,82.09,79,0,4.61,1627865432
Liverpool,GB,53.4106,-2.9779,58.37,78,75,5.75,1627865432
Viedma,AR,-40.8135,-62.9967,51.21,50,0,16.75,1627865432
Bol,TD,13.4586,14.7147,78.87,84,100,17.58,1627865433
Phalodi,IN,27.1333,72.3667,82.08,75,100,17.49,1627865433
Eirunepé,BR,-6.6603,-69.8736,71.17,54,6,2.84,1627865433
Bobrov,RU,51.0961,40.0333,71.38,59,32,5.57,1627865434
Kokkola,FI,63.8385,23.1307,61.03,86,0,2.3,1627865434
Kermanshah,IR,34.3142,47.065,70.7,35,0,0.0,1627865434
Arrondissement de Nevers,FR,46.9167,3.3333,55.99,91,26,2.75,1627865434
Westport,US,41.1415,-73.3579,73.74,62,90,8.99,1627865141
Yining,CN,29.0361,114.5636,88.97,66,0,2.13,1627865435
Bilma,NE,18.6853,12.9164,92.1,11,19,5.01,1627865435
Barentu,ER,15.1139,37.5928,69.22,88,76,4.32,1627865435
Massa Marittima,IT,43.049,10.8928,72.34,71,11,3.27,1627865436
Sept-Îles,CA,50.2001,-66.3821,62.26,82,75,1.01,1627865436
Ouésso,CG,1.6136,16.0517,70.25,95,100,1.25,1627865436
Faro,PT,37.0194,-7.9322,69.58,83,0,14.97,1627865230
Shache,CN,38.4167,77.2406,68.59,58,100,14.16,1627865437
Kapoeta,SS,4.7717,33.5903,76.53,56,96,0.49,1627865437
Muros,ES,42.7762,-9.0603,64.17,91,93,7.45,1627865437
Malakal,SS,9.5334,31.6605,71.2,95,99,2.98,1627865438
Sabzawār,IR,36.2126,57.6819,75.52,16,0,14.88,1627865438
Aparecida do Taboado,BR,-20.0867,-51.0936,65.08,47,28,7.25,1627865438
Aswān,EG,24.0934,32.907,90.7,13,0,3.44,1627865438
Ambanja,MG,-13.6833,48.45,67.21,81,0,3.42,1627865439
Cefalù,IT,38.0386,14.0229,86.76,38,28,3.0,1627865439
Manakara,MG,-22.1333,48.0167,61.63,93,4,4.56,1627865439
Laguna,US,38.421,-121.4238,103.21,27,1,7.0,1627865440
India,IN,20.0,77.0,72.46,88,100,12.5,1627865440
Kopervik,NO,59.2835,5.3067,53.91,76,19,28.77,1627865163
Dannenberg,DE,53.0967,11.09,59.14,95,59,7.4,1627865440
Lokoja,NG,7.8024,6.743,72.25,97,100,0.63,1627865441
Santa Cruz de la Sierra,BO,-17.8,-63.1667,67.46,32,20,12.66,1627865441
Departamento de Maldonado,UY,-34.6667,-54.9167,45.79,93,0,1.25,1627865441
Taoudenni,ML,22.6783,-3.9836,96.1,26,54,13.89,1627865441
Aranos,NA,-24.1333,19.1167,50.34,36,0,9.24,1627865442
Kayerkan,RU,69.3497,87.7602,55.94,83,100,4.25,1627865442
Bitkine,TD,11.9801,18.2138,74.79,81,100,4.5,1627865442
Nouadhibou,MR,20.931,-17.0347,73.38,78,0,12.66,1627865443
Kurchum,KZ,48.5722,83.6542,70.29,44,0,1.77,1627865443
Acarí,PE,-15.4311,-74.6158,67.57,66,49,4.05,1627865443
Trelew,AR,-43.249,-65.3051,56.86,32,84,8.05,1627865443
Ponta Delgada,PT,37.7333,-25.6667,74.12,88,75,11.5,1627865444
Strezhevoy,RU,60.7333,77.5889,57.18,77,100,7.05,1627865444
Scarborough,GB,54.2797,-0.4044,53.53,87,45,1.01,1627865444
Luleå,SE,65.5842,22.1547,48.27,93,5,6.91,1627865445
Veseloyarsk,RU,51.2836,81.1056,71.62,40,99,9.04,1627865445
Imbituba,BR,-28.24,-48.6703,60.69,92,18,9.37,1627865282
Caucayá,CO,-0.1934,-74.7819,69.19,87,100,2.53,1627865445
Vieux-Habitants,GP,16.0589,-61.7659,80.17,77,0,9.19,1627865446
Urubichá,BO,-15.3833,-62.95,69.58,26,2,6.11,1627865446
Saktī,IN,22.0333,82.9667,76.68,84,89,3.42,1627865446
Arrondissement de Morlaix,FR,48.5833,-4.0,60.85,94,75,3.44,1627865446
Koutsouras,GR,35.0339,25.9469,84.85,47,0,16.33,1627865447
Kondinskoye,RU,59.6481,67.41,57.61,94,3,9.15,1627865447
Gambēla,ET,8.25,34.5833,69.26,97,100,2.15,1627865447
La Seyne-sur-Mer,FR,43.0982,5.8847,71.62,52,51,5.01,1627865448
Pompéia,BR,-22.1086,-50.1717,66.69,59,70,7.18,1627865448
Hualmay,PE,-11.0964,-77.6139,63.77,83,17,10.78,1627865448
Isil'kul',RU,54.9109,71.2728,65.08,92,0,10.31,1627865448
Nchelenge,ZM,-9.3451,28.734,62.01,63,7,6.11,1627865449
Peniche,PT,39.3558,-9.3811,70.72,94,65,5.99,1627865360
Santa Lucía,ES,27.9117,-15.5407,63.77,68,75,24.16,1627865449
Tazovsky,RU,67.4667,78.7,54.63,74,100,9.26,1627865190
Dabat,ET,12.9842,37.765,50.14,92,16,0.83,1627865449
Safi,MA,32.2994,-9.2372,66.24,84,4,12.44,1627865450
Beloha,MG,-25.1667,45.05,62.96,62,0,7.47,1627865450
Pangody,RU,65.85,74.4859,61.52,59,100,12.5,1627865450
Antri,IN,26.0567,78.2144,76.89,95,100,12.48,1627865451
San Miguel de Tucumán,AR,-26.8241,-65.2226,57.2,41,0,8.05,1627865451
Yambio,SS,4.5721,28.3955,66.56,99,100,2.48,1627865451
Fourmies,FR,50.0153,4.0478,58.21,95,18,4.03,1627865451
Nāwa,IN,27.0167,75.0,76.78,92,100,15.84,1627865452
Carutapera,BR,-1.195,-46.02,73.09,89,46,1.23,1627865452
Mayumba,GA,-3.432,10.6554,73.18,86,84,6.26,1627865452
Kudahuvadhoo,MV,2.6708,72.8944,81.75,74,78,7.34,1627865453
Palafrugell,ES,41.9174,3.1631,66.34,100,92,2.1,1627865453
Koulamoutou,GA,-1.1303,12.4736,72.21,91,100,3.15,1627865453
Hermon,US,44.8101,-68.9134,64.81,74,94,4.81,1627865251
Khatīma,IN,28.9167,79.9667,80.82,85,86,2.28,1627865454
Qasigiannguit,GL,68.8193,-51.1922,50.47,58,0,9.15,1627865454
Ālampur,IN,15.8833,78.15,77.14,71,82,14.41,1627865454
Virginia Beach,US,36.8529,-75.978,80.65,86,75,3.44,1627865310
Krasnosel'kup,RU,65.7,82.4667,60.24,80,92,6.44,1627865455
Port-Cartier,CA,50.0334,-66.8654,61.93,75,100,5.39,1627865455
Talcahuano,CL,-36.7167,-73.1167,53.28,76,0,8.05,1627865455
Kabalo,CD,-6.05,26.9167,72.25,40,2,3.71,1627865456
Crateús,BR,-5.1783,-40.6775,72.48,58,100,5.55,1627865456
Havelock,US,34.8791,-76.9013,75.94,96,27,3.0,1627865447
Tabou,CI,4.423,-7.3528,76.23,81,96,6.29,1627865456
Navahrudak,BY,53.6,25.8333,61.11,96,98,3.02,1627865457
Florida,US,28.7505,-82.5001,85.98,50,95,8.28,1627865311
Antofagasta,CL,-23.65,-70.4,58.28,77,25,2.57,1627865454
Gaspar,BR,-26.9314,-48.9589,58.71,45,100,0.11,1627865457
Saint-Augustin,CA,51.226,-58.6502,57.81,83,100,10.83,1627865457
Baixa Grande,BR,-11.9597,-40.1681,61.59,89,17,4.79,1627865458
Alberton,CA,46.8168,-64.0654,66.11,68,98,12.17,1627865458
Ambilobe,MG,-13.2,49.05,68.92,75,48,2.51,1627865458
La Plata,AR,-34.9215,-57.9545,48.99,97,3,4.88,1627865404
Sidhi,IN,24.4167,81.8833,75.49,88,100,10.31,1627865459
Brigantine,US,39.4101,-74.3646,73.02,82,89,3.71,1627865459
Diamantino,BR,-14.4086,-56.4461,73.71,32,0,4.99,1627865459
Lusambo,CD,-4.9667,23.45,67.42,40,13,1.99,1627865460
